Author_Name,review_text,commentTimestamp,postCommentsCount,postLikesCount,user_id,product_id,sentiment_score,sentiment_category
Kumkum Doshi,"Siddhant,, 's favorite",2024-05-06T16:55:10.000Z,2,41,"Kumkum Doshi - Siddhant,, 's favori",ARCHANAS-FOOD,0.5,Positive
Jaspinder Sandhu,Green chatni nhi banai ji,2024-05-06T14:39:27.000Z,2,41,Jaspinder Sandhu - Green chatni nhi ban,ARCHANAS-FOOD,-0.2,Negative
Sushila Devi,"Welcome to Singapore, Archana! ï¿½ï",2024-05-29T03:02:13.000Z,3,46,Sushila Devi - Welcome to Singapore,ARCHANAS-FOOD,0.8,Positive
Jette Ackermann,Looks yummy,2024-10-08T13:12:15.000Z,3,46,Jette Ackermann - Looks yummy,ARCHANAS-FOOD,0,Neutral
Geeta Iyer,Awesome!,2024-05-06T11:05:14.000Z,6,29,Geeta Iyer - Awesome!,ARCHANAS-FOOD,1,Positive
Chandra Prakash Srivastava,=L=L=L=L=L=L=L=L>3>W>c>ï¿½ï¿½ï¿½ï¿½,2024-05-21T11:46:51.000Z,6,29,Chandra Prakash Srivastava - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,ARCHANAS-FOOD,0,Neutral
Naaz Kinghar,"Great, much needed!",2024-05-09T21:16:55.000Z,6,29,"Naaz Kinghar - Great, much needed!",ARCHANAS-FOOD,0.5,Positive
Ravi Bhaskaran,Congrats! Looks great Archie,2024-05-06T18:50:27.000Z,6,29,Ravi Bhaskaran - Congrats! Looks grea,ARCHANAS-FOOD,0.8,Positive
Kumkum Doshi,Congratulations ï¿½ï,2024-05-06T15:08:08.000Z,6,29,Kumkum Doshi - Congratulations ï¿½ï,ARCHANAS-FOOD,0,Neutral
Thiagarajan Chander,Keep rockiing archana,2024-05-05T11:01:34.000Z,2,13,Thiagarajan Chander - Keep rockiing archan,ARCHANAS-FOOD,0,Neutral
Lakshmi Prakash Shirur,Yummmmmmz,2024-05-07T15:46:37.000Z,2,13,Lakshmi Prakash Shirur - Yummmmmmz,ARCHANAS-FOOD,0,Neutral
BakingReview,Yum!  That spread looks amazing and so colorful. Love the idea of Bajra roti for added nutrients!,2024-05-06T13:29:03.000Z,3,19,BakingReview - Yum!  That spread lo,ARCHANAS-FOOD,0.466666667,Positive
Lakshmi Prakash Shirur,Yummy yummm,2024-05-16T11:53:38.000Z,3,19,Lakshmi Prakash Shirur - Yummy yummm,ARCHANAS-FOOD,0,Neutral
M.s.sonicooking,https://youtu.be/v_2pjfpkVZc?si=r22-sReVuRxv0Zpe,2024-05-08T14:11:00.000Z,3,19,M.s.sonicooking - https://youtu.be/v_2,ARCHANAS-FOOD,0,Neutral
Chandra Prakash Srivastava,#NAME?,2024-05-30T15:50:40.000Z,2,41,Chandra Prakash Srivastava - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,ARCHANAS-FOOD,0,Neutral
BakingReview,"Loving your Sunday spread!   Jaipuri Aloo Pyaaz & Lachha Paratha sounds perfect, and the Rose Lassi looks refreshing.",2024-05-06T13:45:15.000Z,2,41,BakingReview - Loving your Sunday s,ARCHANAS-FOOD,0.675,Positive
Kate Wroblewski,"This was great, thank you!",2025-03-23T18:54:05.000Z,3,34,"Kate Wroblewski - This was great, than",ARCHANAS-FOOD,0.8,Positive
Thiagarajan Chander,Lovely archana,2024-05-13T12:54:02.000Z,7,70,Thiagarajan Chander - Lovely archana,ARCHANAS-FOOD,0.5,Positive
Jasbir Singh Waraich,Yummy yummy ï¿½ï¿½ï¿½ï,2024-05-22T16:22:55.000Z,7,70,Jasbir Singh Waraich - Yummy yummy ï¿½ï¿½ï¿½ï,ARCHANAS-FOOD,0,Neutral
Thiagarajan Chander,I like this menu archana,2024-05-21T09:24:48.000Z,7,70,Thiagarajan Chander - I like this menu arc,ARCHANAS-FOOD,0,Neutral
Sitaramarao Ponnaluri,Where is Archanaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,2024-05-13T12:33:50.000Z,7,70,Sitaramarao Ponnaluri - Where is Archanaï¿½ï¿½ï,ARCHANAS-FOOD,0,Neutral
MD Mahtab,What is the budget? ï¿½ï¿½ï¿½ï¿,2024-05-13T07:44:00.000Z,7,70,MD Mahtab - What is the budget? ,ARCHANAS-FOOD,0,Neutral
Sangeeta Mittal,Wow fantastic ï¿½ï,2024-05-21T07:19:14.000Z,7,70,Sangeeta Mittal - Wow fantastic ï¿½ï,ARCHANAS-FOOD,0.25,Positive
Lakshmi Prakash Shirur,Super duper,2024-05-16T11:53:23.000Z,1,16,Lakshmi Prakash Shirur - Super duper,ARCHANAS-FOOD,0.333333333,Positive
Santosh Jain,Please send,2024-05-18T09:11:55.000Z,13,52,Santosh Jain - Please send,ARCHANAS-FOOD,0,Neutral
PK Chakradhar,https://www.facebook.com/groups/FoodMafia/?ref=share,2024-05-21T02:28:11.000Z,13,52,PK Chakradhar - https://www.facebook,ARCHANAS-FOOD,0,Neutral
Sandhya Panchmia,Yummy yummy,2024-05-20T09:20:28.000Z,13,52,Sandhya Panchmia - Yummy yummy,ARCHANAS-FOOD,0,Neutral
Heena Thavani,Recipe please,2024-05-20T04:40:58.000Z,13,52,Heena Thavani - Recipe please,ARCHANAS-FOOD,0,Neutral
Nalina Ajit,Nice receipe please!!,2024-05-19T08:21:03.000Z,13,52,Nalina Ajit - Nice receipe please!,ARCHANAS-FOOD,0.6,Positive
Loveleen Sidhu,Yummy!! Recipe please,2024-05-19T02:58:31.000Z,13,52,Loveleen Sidhu - Yummy!! Recipe pleas,ARCHANAS-FOOD,0,Neutral
Glynis Lobo,Receipe please,2024-05-18T02:49:18.000Z,13,52,Glynis Lobo - Receipe please,ARCHANAS-FOOD,0,Neutral
Bhavna R Shah,#NAME?,2024-05-18T00:42:34.000Z,13,52,Bhavna R Shah - ï¿½ï¿½ï¿,ARCHANAS-FOOD,0,Neutral
BakingReview,Slow-roasted moong dal halwa is a less common dessert that can be a showstopper at gatherings.,2024-05-17T13:49:36.000Z,13,52,BakingReview - Slow-roasted moong d,ARCHANAS-FOOD,-0.255555556,Negative
Mitali Gupta,"Awesome
 Congratulations",2024-05-14T03:45:42.000Z,3,20,"Mitali Gupta - Awesome
 Congratulat",ARCHANAS-FOOD,1,Positive
Lakshmi Prakash Shirur,Very tempting,2024-05-26T11:16:50.000Z,3,20,Lakshmi Prakash Shirur - Very tempting,ARCHANAS-FOOD,0.2,Positive
Rajiv Pande,Kshitija Pande,2024-05-13T14:11:41.000Z,3,20,Rajiv Pande - Kshitija Pande,ARCHANAS-FOOD,0,Neutral
Ritika Mahajan,"If the camera is focused more towards the bowl and what's happening in there, it would be better",2024-05-17T16:54:56.000Z,4,30,Ritika Mahajan - If the camera is foc,ARCHANAS-FOOD,0.5,Positive
Thiagarajan Chander,Keep rocking archana,2024-05-03T17:11:17.000Z,4,30,Thiagarajan Chander - Keep rocking archana,ARCHANAS-FOOD,0,Neutral
Lakshmi Prakash Shirur,Superrrb,2024-05-07T15:46:06.000Z,4,30,Lakshmi Prakash Shirur - Superrrb,ARCHANAS-FOOD,0,Neutral
Kumkum Doshi,Superb,2024-05-05T06:12:23.000Z,4,30,Kumkum Doshi - Superb,ARCHANAS-FOOD,1,Positive
Lakshmi Prakash Shirur,Fabulous,2024-05-16T11:52:44.000Z,3,17,Lakshmi Prakash Shirur - Fabulous,ARCHANAS-FOOD,0.4,Positive
Foodie Dutta,great,2024-07-18T20:03:30.000Z,1,13,Foodie Dutta - great,ARCHANAS-FOOD,0.8,Positive
Thiagarajan Chander,I tasted this dish in vadodara Archana,2024-05-07T08:12:46.000Z,2,13,Thiagarajan Chander - I tasted this dish i,ARCHANAS-FOOD,0,Neutral
Lakshmi Prakash Shirur,Superrr,2024-05-16T11:52:59.000Z,2,13,Lakshmi Prakash Shirur - Superrr,ARCHANAS-FOOD,0,Neutral
Lakshmi Prakash Shirur,Yummyï¿½ï,2024-07-24T10:55:52.000Z,2,27,Lakshmi Prakash Shirur - Yummyï¿½ï,ARCHANAS-FOOD,0,Neutral
chamar3940,Hi love you,2024-07-25T18:33:18.000Z,2,31,chamar3940 - Hi love you,ARCHANAS-FOOD,0.5,Positive
BakingReview,nice,2024-05-10T14:02:18.000Z,61,212,BakingReview - nice,ARCHANAS-FOOD,0.6,Positive
Rakhi Advani Gautham,Wow congratulations Archana! ï¿½ï,2024-05-09T07:26:52.000Z,61,212,Rakhi Advani Gautham - Wow congratulations ,ARCHANAS-FOOD,0.1,Positive
Jayesh Doshi,Congratulations !,2024-05-13T10:11:06.000Z,61,212,Jayesh Doshi - Congratulations !,ARCHANAS-FOOD,0,Neutral
Neha Gopa Sheth,"Congratulations Archana ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",2024-05-13T07:40:58.000Z,61,212,Neha Gopa Sheth - Congratulations Arch,ARCHANAS-FOOD,0,Neutral
Mohandoss,Archana the recipe queen... congrats..ï¿½ï,2024-05-10T15:42:47.000Z,61,212,Mohandoss - Archana the recipe q,ARCHANAS-FOOD,0,Neutral
Jeeva Anna George,"Congratulations,  Archana ï¿½ï",2024-05-10T10:43:10.000Z,61,212,"Jeeva Anna George - Congratulations,  Ar",ARCHANAS-FOOD,0,Neutral
Premila Ramesh Manyam,Congratulations Madam,2024-05-10T07:11:57.000Z,61,212,Premila Ramesh Manyam - Congratulations Mada,ARCHANAS-FOOD,0,Neutral
Dhruv Desai,"Congratulations Archana,",2024-05-09T13:06:50.000Z,61,212,Dhruv Desai - Congratulations Arch,ARCHANAS-FOOD,0,Neutral
Vasantha Erraguntla,Congratulations Archana!,2024-05-09T12:31:31.000Z,61,212,Vasantha Erraguntla - Congratulations Arch,ARCHANAS-FOOD,0,Neutral
Thiagarajan Chander,So delicious archana,2024-07-23T15:39:01.000Z,3,27,Thiagarajan Chander - So delicious archana,ARCHANAS-FOOD,1,Positive
Pramod Kumar Sharma,delicious,2024-07-17T07:12:15.000Z,3,27,Pramod Kumar Sharma - delicious,ARCHANAS-FOOD,1,Positive
Leena Subramanian,Yummy,2024-07-23T11:05:10.000Z,3,27,Leena Subramanian - Yummy,ARCHANAS-FOOD,0,Neutral
Elizabeth Blunt,"Archana, you often suggest Indian traditional food at lunchtime and western dishes in the evening. Is this how many people in India eat these days?",2024-06-14T12:59:13.000Z,2,25,"Elizabeth Blunt - Archana, you often s",ARCHANAS-FOOD,0.166666667,Positive
Geeta Iyer,Excellent,2024-06-13T11:32:52.000Z,2,25,Geeta Iyer - Excellent,ARCHANAS-FOOD,1,Positive
Pramod Kumar Sharma,love this recipe.,2024-06-22T08:27:58.000Z,1,26,Pramod Kumar Sharma - love this recipe.,ARCHANAS-FOOD,0.5,Positive
Foodie Dutta,Wow,2024-07-18T20:02:08.000Z,3,11,Foodie Dutta - Wow,ARCHANAS-FOOD,0.1,Positive
Jyoti Gulati,Sure,2024-09-05T16:27:36.000Z,82,312,Jyoti Gulati - Sure,ARCHANAS-FOOD,0.5,Positive
Yamini Kohli,Bakingï¿,2024-09-04T17:34:39.000Z,82,312,Yamini Kohli - Bakingï¿,ARCHANAS-FOOD,0,Neutral
Parul Shah,"Missed you 
Enjoy with your son good luck 
Waiting for new recipes",2024-09-09T17:42:34.000Z,82,312,"Parul Shah - Missed you 
Enjoy wi",ARCHANAS-FOOD,0.412121212,Positive
Usha Rajagopal,Looking fabulous! Love the hairï¿½ï,2024-09-08T17:52:29.000Z,82,312,Usha Rajagopal - Looking fabulous! Lo,ARCHANAS-FOOD,0.45,Positive
Pradeep Raajkumar,Lovely Dear,2024-09-07T03:26:52.000Z,82,312,Pradeep Raajkumar - Lovely Dear,ARCHANAS-FOOD,0.5,Positive
Hema Parikh,Yes baking & maxican,2024-09-06T17:55:56.000Z,82,312,Hema Parikh - Yes baking & maxican,ARCHANAS-FOOD,0,Neutral
Nivedita Rajgarhia,Healthy food for youngsters,2024-09-06T02:14:18.000Z,82,312,Nivedita Rajgarhia - Healthy food for you,ARCHANAS-FOOD,0.5,Positive
Rosy Kuldip,Chinese recipes,2024-09-05T21:08:49.000Z,82,312,Rosy Kuldip - Chinese recipes,ARCHANAS-FOOD,0,Neutral
Bharti Gupta,This hairstyle rocks Archana,2024-09-05T12:29:18.000Z,82,312,Bharti Gupta - This hairstyle rocks,ARCHANAS-FOOD,0,Neutral
Neha Jain,Yes,2024-09-05T08:58:32.000Z,82,312,Neha Jain - Yes,ARCHANAS-FOOD,0,Neutral
Rajalakshmi Shankarakumar,"Happy Vinayagar Chathurthi ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",2024-09-07T08:18:10.000Z,3,19,Rajalakshmi Shankarakumar - Happy Vinayagar Chat,ARCHANAS-FOOD,0.8,Positive
Tanu Bandyopadhyay,"Subho   Ganesh   Chaturthi
Everything  looks  sodelicious",2024-09-07T11:49:31.000Z,3,19,Tanu Bandyopadhyay - Subho   Ganesh   Cha,ARCHANAS-FOOD,0,Neutral
Manjunath Manju,Happy ganesh chaturthi,2024-09-07T06:12:06.000Z,3,19,Manjunath Manju - Happy ganesh chaturt,ARCHANAS-FOOD,0.8,Positive
Thiagarajan Chander,You looking so good archana,2024-05-04T14:01:40.000Z,1,12,Thiagarajan Chander - You looking so good ,ARCHANAS-FOOD,0.7,Positive
Lakshmi Prakash Shirur,Lovely,2024-07-24T10:56:32.000Z,1,17,Lakshmi Prakash Shirur - Lovely,ARCHANAS-FOOD,0.5,Positive
Pramod Kumar Sharma,Highly nutritious dishes,2024-06-14T16:09:02.000Z,1,18,Pramod Kumar Sharma - Highly nutritious di,ARCHANAS-FOOD,0.16,Positive
BakingReview,Looks delicious!   Never tried Akki Roti - what's your favorite chutney to pair it with?,2024-05-04T15:18:54.000Z,6,85,BakingReview - Looks delicious!   N,ARCHANAS-FOOD,0.75,Positive
Shobhana Manjunath,Sumptuous one.. swiggy pls..,2024-05-04T03:35:45.000Z,6,85,Shobhana Manjunath - Sumptuous one.. swig,ARCHANAS-FOOD,0,Neutral
Manjunath Manju,Very nice,2024-05-03T06:14:39.000Z,6,85,Manjunath Manju - Very nice,ARCHANAS-FOOD,0.78,Positive
Thiagarajan Chander,Archana super,2024-05-07T08:55:15.000Z,6,85,Thiagarajan Chander - Archana super,ARCHANAS-FOOD,0.333333333,Positive
Pramod Kumar Sharma,delicious recipe.,2024-06-22T10:54:00.000Z,3,30,Pramod Kumar Sharma - delicious recipe.,ARCHANAS-FOOD,1,Positive
Jette Ackermann,>p,2024-09-04T16:14:12.000Z,3,30,Jette Ackermann - ï¿½ï,ARCHANAS-FOOD,0,Neutral
Thiagarajan Chander,So color ful archana,2024-07-16T13:34:22.000Z,1,17,Thiagarajan Chander - So color ful archana,ARCHANAS-FOOD,0,Neutral
Tanu Bandyopadhyay,Menu   Is  so   Tempting.,2024-06-22T15:16:39.000Z,8,62,Tanu Bandyopadhyay - Menu   Is  so   Temp,ARCHANAS-FOOD,0,Neutral
Prabal Ranjan Paul,"Do you have any recipe with dry fish,please share",2024-06-22T11:48:34.000Z,8,62,Prabal Ranjan Paul - Do you have any reci,ARCHANAS-FOOD,-0.066666667,Neutral
Shelly Johnson,They are amazing,2024-06-22T08:10:59.000Z,8,62,Shelly Johnson - They are amazing,ARCHANAS-FOOD,0.6,Positive
Anuradha Ramesh,Good afternoon Ma'am. Your recipes are totally amazing and awesome. I truly love them. You are an inspiration to me. Thanks a lot.,2024-06-22T07:37:35.000Z,8,62,Anuradha Ramesh - Good afternoon Ma'am,ARCHANAS-FOOD,0.6,Positive
The Tasty Room ,ddd,2024-06-23T06:16:26.000Z,8,62,The Tasty Room  - ï¿½ï¿½ï¿½ï¿½,ARCHANAS-FOOD,0,Neutral
Lakshmi Prakash Shirur,Superb dishes,2024-05-07T15:47:11.000Z,2,18,Lakshmi Prakash Shirur - Superb dishes,ARCHANAS-FOOD,1,Positive
Sameer Mohammad,Aliya Shaik,2024-04-30T10:45:52.000Z,2,18,Sameer Mohammad - Aliya Shaik,ARCHANAS-FOOD,0,Neutral
Kavita Kripalani Bina Daswani,Love it,2024-06-14T11:33:21.000Z,1,26,Kavita Kripalani Bina Daswani - Love it,ARCHANAS-FOOD,0.5,Positive
Tanu Bandyopadhyay,Too   Good  .,2024-06-21T09:41:16.000Z,4,72,Tanu Bandyopadhyay - Too   Good  .,ARCHANAS-FOOD,0.7,Positive
ghar ka TripatiTali,Wow yummy recipe,2024-04-30T04:37:34.000Z,3,21,ghar ka TripatiTali - Wow yummy recipe,ARCHANAS-FOOD,0.1,Positive
Vandana Vp,Recipe?,2024-04-30T18:46:26.000Z,3,21,Vandana Vp - Recipe?,ARCHANAS-FOOD,0,Neutral
Thiagarajan Chander,Archana you rocking,2024-04-30T09:43:03.000Z,3,21,Thiagarajan Chander - Archana you rocking,ARCHANAS-FOOD,0,Neutral
Pramod Kumar Sharma,delicious recipe thank you ï¿½ï,2024-06-25T06:48:17.000Z,2,23,Pramod Kumar Sharma - delicious recipe tha,ARCHANAS-FOOD,1,Positive
Thiagarajan Chander,"Well done archana, keep rocking",2024-07-02T11:00:10.000Z,2,23,"Thiagarajan Chander - Well done archana, k",ARCHANAS-FOOD,0,Neutral
Rajalakshmi Shankarakumar,Yummy and easy to make,2024-04-16T13:13:57.000Z,3,85,Rajalakshmi Shankarakumar - Yummy and easy to ma,ARCHANAS-FOOD,0.433333333,Positive
Ragini Singh,Written recipe please,2024-04-16T19:52:31.000Z,3,85,Ragini Singh - Written recipe pleas,ARCHANAS-FOOD,0,Neutral
Ruki Char Parekh,We make it with channa atta/ besan!,2024-04-23T09:25:23.000Z,3,58,Ruki Char Parekh - We make it with chan,ARCHANAS-FOOD,0,Neutral
Kamaraju Naidu,Very nice and quickly  showing keep it up,2024-04-23T07:11:24.000Z,3,58,Kamaraju Naidu - Very nice and quickl,ARCHANAS-FOOD,0.556666667,Positive
Parisudham,#NAME?,2024-04-10T15:41:06.000Z,1,62,Parisudham - ï¿½ï¿½ï¿½ï¿½,ARCHANAS-FOOD,0,Neutral
Shyamali Choudhury,I love south Indian receipe,2024-06-13T06:38:56.000Z,3,30,Shyamali Choudhury - I love south Indian ,ARCHANAS-FOOD,0.5,Positive
Jayant Joshi,"Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½am, I shall try Spinach Mashroom scrambled eggs first ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï",2024-06-13T03:07:49.000Z,3,30,"Jayant Joshi - Mï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï",ARCHANAS-FOOD,0.009615385,Neutral
Thiagarajan Chander,"Super archana, keep rocking",2024-04-23T08:21:34.000Z,3,30,"Thiagarajan Chander - Super archana, keep ",ARCHANAS-FOOD,0.333333333,Positive
Aru Arumugam,Very ï¿½ï¿½,2024-04-17T02:23:06.000Z,3,30,Aru Arumugam - Very ï¿½ï¿½,ARCHANAS-FOOD,0.2,Positive
Jasbir Singh Waraich,Nice ï¿½ï¿½ï¿½ï,2024-04-23T00:30:57.000Z,3,30,Jasbir Singh Waraich - Nice ï¿½ï¿½ï¿½ï,ARCHANAS-FOOD,0.6,Positive
DivyasWorld,Yummmy ï¿½ï¿½ï¿½ï¿½ï¿½ï,2024-04-10T14:05:54.000Z,1,20,DivyasWorld - Yummmy ï¿½ï¿½ï¿½ï¿½ï¿½ï,ARCHANAS-FOOD,0,Neutral
Kitchen Recepies,Lovelyï¿½ï,2024-03-31T17:34:50.000Z,1,91,Kitchen Recepies - Lovelyï¿½ï,ARCHANAS-FOOD,0,Neutral
Lakshmi Prakash Shirur,Wowie,2024-03-27T10:46:09.000Z,1,19,Lakshmi Prakash Shirur - Wowie,ARCHANAS-FOOD,0,Neutral
Thiagarajan Chander,Good archana,2024-04-12T09:55:40.000Z,1,59,Thiagarajan Chander - Good archana,ARCHANAS-FOOD,0.7,Positive
