Author_Name,review_text,commentTimestamp,postCommentsCount,postLikesCount,user_id,product_id,review_text_cleaned,Sentiment_Score,Sentiment
Kumkum Doshi,"Siddhant,, 's favorite",2024-05-06T16:55:10.000Z,2.0,41,"Kumkum Doshi - Siddhant,, 's favori",ARCHANAS-FOOD,"Siddhant,, 's favorite",0.4588,Positive
Jaspinder Sandhu,Green chatni nhi banai ji,2024-05-06T14:39:27.000Z,2.0,41,Jaspinder Sandhu - Green chatni nhi ban,ARCHANAS-FOOD,Green chatni nhi banai ji,0.0,Neutral
Sushila Devi,"Welcome to Singapore, Archana! Ã¢Â",2024-05-29T03:02:13.000Z,3.0,46,Sushila Devi - Welcome to Singapore,ARCHANAS-FOOD,"Welcome to Singapore, Archana! ",0.5093,Positive
Jette Ackermann,Looks yummy,2024-10-08T13:12:15.000Z,3.0,46,Jette Ackermann - Looks yummy,ARCHANAS-FOOD,Looks yummy,0.5267,Positive
Geeta Iyer,Awesome!,2024-05-06T11:05:14.000Z,6.0,29,Geeta Iyer - Awesome!,ARCHANAS-FOOD,Awesome!,0.6588,Positive
Chandra Prakash Srivastava,=L=L=L=L=L=L=L=L>3>W>c>Ã•<r<\>j<-<T,2024-05-21T11:46:51.000Z,6.0,29,Chandra Prakash Srivastava - Ã°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸ,ARCHANAS-FOOD,=L=L=L=L=L=L=L=L>3>W>c><r<\>j<-<T,0.0,Neutral
Naaz Kinghar,"Great, much needed!",2024-05-09T21:16:55.000Z,6.0,29,"Naaz Kinghar - Great, much needed!",ARCHANAS-FOOD,"Great, much needed!",0.6588,Positive
Ravi Bhaskaran,Congrats! Looks great Archie,2024-05-06T18:50:27.000Z,6.0,29,Ravi Bhaskaran - Congrats! Looks grea,ARCHANAS-FOOD,Congrats! Looks great Archie,0.8313,Positive
Kumkum Doshi,Congratulations Ã°ÂŸ,2024-05-06T15:08:08.000Z,6.0,29,Kumkum Doshi - Congratulations Ã°ÂŸ,ARCHANAS-FOOD,Congratulations ,0.5994,Positive
Thiagarajan Chander,Keep rockiing archana,2024-05-05T11:01:34.000Z,2.0,13,Thiagarajan Chander - Keep rockiing archan,ARCHANAS-FOOD,Keep rockiing archana,0.0,Neutral
Lakshmi Prakash Shirur,Yummmmmmz,2024-05-07T15:46:37.000Z,2.0,13,Lakshmi Prakash Shirur - Yummmmmmz,ARCHANAS-FOOD,Yummmmmmz,0.0,Neutral
BakingReview,Yum!  That spread looks amazing and so colorful. Love the idea of Bajra roti for added nutrients!,2024-05-06T13:29:03.000Z,3.0,19,BakingReview - Yum!  That spread lo,ARCHANAS-FOOD,Yum!  That spread looks amazing and so colorful. Love the idea of Bajra roti for added nutrients!,0.8709,Positive
Lakshmi Prakash Shirur,Yummy yummm,2024-05-16T11:53:38.000Z,3.0,19,Lakshmi Prakash Shirur - Yummy yummm,ARCHANAS-FOOD,Yummy yummm,0.5267,Positive
M.s.sonicooking,https://youtu.be/v_2pjfpkVZc?si=r22-sReVuRxv0Zpe,2024-05-08T14:11:00.000Z,3.0,19,M.s.sonicooking - https://youtu.be/v_2,ARCHANAS-FOOD,https://youtu.be/v_2pjfpkVZc?si=r22-sReVuRxv0Zpe,0.0,Neutral
Chandra Prakash Srivastava,=L=L=L=L=L=L=L=L=L=z>3,2024-05-30T15:50:40.000Z,2.0,41,Chandra Prakash Srivastava - Ã°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸÂ‘ÂŒÃ°ÂŸ,ARCHANAS-FOOD,=L=L=L=L=L=L=L=L=L=z>3,0.0,Neutral
BakingReview,"Loving your Sunday spread!   Jaipuri Aloo Pyaaz & Lachha Paratha sounds perfect, and the Rose Lassi looks refreshing.",2024-05-06T13:45:15.000Z,2.0,41,BakingReview - Loving your Sunday s,ARCHANAS-FOOD,"Loving your Sunday spread!   Jaipuri Aloo Pyaaz & Lachha Paratha sounds perfect, and the Rose Lassi looks refreshing.",0.8356,Positive
Kate Wroblewski,"This was great, thank you!",2025-03-23T18:54:05.000Z,3.0,34,"Kate Wroblewski - This was great, than",ARCHANAS-FOOD,"This was great, thank you!",0.784,Positive
Thiagarajan Chander,Lovely archana,2024-05-13T12:54:02.000Z,7.0,70,Thiagarajan Chander - Lovely archana,ARCHANAS-FOOD,Lovely archana,0.5859,Positive
Jasbir Singh Waraich,Yummy yummy Ã°ÂŸÂ‘ÂŒÃ¢,2024-05-22T16:22:55.000Z,7.0,70,Jasbir Singh Waraich - Yummy yummy Ã°ÂŸÂ‘ÂŒÃ¢,ARCHANAS-FOOD,Yummy yummy ğŸ‘Œ,0.7783,Positive
Thiagarajan Chander,I like this menu archana,2024-05-21T09:24:48.000Z,7.0,70,Thiagarajan Chander - I like this menu arc,ARCHANAS-FOOD,I like this menu archana,0.3612,Positive
Sitaramarao Ponnaluri,Where is ArchanaÃ¢Â€Â™s kitchen physically located? Mouth wateri,2024-05-13T12:33:50.000Z,7.0,70,Sitaramarao Ponnaluri - Where is ArchanaÃ¢Â€Â™s,ARCHANAS-FOOD,Where is Archanaâ€™s kitchen physically located? Mouth wateri,0.0,Neutral
MD Mahtab,What is the budget? Ã¢Â‚Â¹10 Ã¢,2024-05-13T07:44:00.000Z,7.0,70,MD Mahtab - What is the budget? ,ARCHANAS-FOOD,What is the budget? â‚¹10 ,0.0,Neutral
Sangeeta Mittal,Wow fantastic Ã°ÂŸ,2024-05-21T07:19:14.000Z,7.0,70,Sangeeta Mittal - Wow fantastic Ã°ÂŸ,ARCHANAS-FOOD,Wow fantastic ,0.8126,Positive
Lakshmi Prakash Shirur,Super duper,2024-05-16T11:53:23.000Z,1.0,16,Lakshmi Prakash Shirur - Super duper,ARCHANAS-FOOD,Super duper,0.5994,Positive
Santosh Jain,Please send,2024-05-18T09:11:55.000Z,13.0,52,Santosh Jain - Please send,ARCHANAS-FOOD,Please send,0.3182,Positive
PK Chakradhar,https://www.facebook.com/groups/FoodMafia/?ref=share,2024-05-21T02:28:11.000Z,13.0,52,PK Chakradhar - https://www.facebook,ARCHANAS-FOOD,https://www.facebook.com/groups/FoodMafia/?ref=share,0.0,Neutral
Sandhya Panchmia,Yummy yummy,2024-05-20T09:20:28.000Z,13.0,52,Sandhya Panchmia - Yummy yummy,ARCHANAS-FOOD,Yummy yummy,0.7783,Positive
Heena Thavani,Recipe please,2024-05-20T04:40:58.000Z,13.0,52,Heena Thavani - Recipe please,ARCHANAS-FOOD,Recipe please,0.3182,Positive
Nalina Ajit,Nice receipe please!!,2024-05-19T08:21:03.000Z,13.0,52,Nalina Ajit - Nice receipe please!,ARCHANAS-FOOD,Nice receipe please!!,0.6892,Positive
Loveleen Sidhu,Yummy!! Recipe please,2024-05-19T02:58:31.000Z,13.0,52,Loveleen Sidhu - Yummy!! Recipe pleas,ARCHANAS-FOOD,Yummy!! Recipe please,0.7418,Positive
Glynis Lobo,Receipe please,2024-05-18T02:49:18.000Z,13.0,52,Glynis Lobo - Receipe please,ARCHANAS-FOOD,Receipe please,0.3182,Positive
Bhavna R Shah,=M<8,2024-05-18T00:42:34.000Z,13.0,52,Bhavna R Shah - Ã°ÂŸÂ‘Â,ARCHANAS-FOOD,=M<8,0.0,Neutral
BakingReview,Slow-roasted moong dal halwa is a less common dessert that can be a showstopper at gatherings.,2024-05-17T13:49:36.000Z,13.0,52,BakingReview - Slow-roasted moong d,ARCHANAS-FOOD,Slow-roasted moong dal halwa is a less common dessert that can be a showstopper at gatherings.,0.0,Neutral
Mitali Gupta,"Awesome
 Congratulations",2024-05-14T03:45:42.000Z,3.0,20,"Mitali Gupta - Awesome
 Congratulat",ARCHANAS-FOOD,"Awesome
 Congratulations",0.8402,Positive
Lakshmi Prakash Shirur,Very tempting,2024-05-26T11:16:50.000Z,3.0,20,Lakshmi Prakash Shirur - Very tempting,ARCHANAS-FOOD,Very tempting,0.0,Neutral
Rajiv Pande,Kshitija Pande,2024-05-13T14:11:41.000Z,3.0,20,Rajiv Pande - Kshitija Pande,ARCHANAS-FOOD,Kshitija Pande,0.0,Neutral
Ritika Mahajan,"If the camera is focused more towards the bowl and what's happening in there, it would be better",2024-05-17T16:54:56.000Z,4.0,30,Ritika Mahajan - If the camera is foc,ARCHANAS-FOOD,"If the camera is focused more towards the bowl and what's happening in there, it would be better",0.6705,Positive
Thiagarajan Chander,Keep rocking archana,2024-05-03T17:11:17.000Z,4.0,30,Thiagarajan Chander - Keep rocking archana,ARCHANAS-FOOD,Keep rocking archana,0.0,Neutral
Lakshmi Prakash Shirur,Superrrb,2024-05-07T15:46:06.000Z,4.0,30,Lakshmi Prakash Shirur - Superrrb,ARCHANAS-FOOD,Superrrb,0.0,Neutral
Kumkum Doshi,Superb,2024-05-05T06:12:23.000Z,4.0,30,Kumkum Doshi - Superb,ARCHANAS-FOOD,Superb,0.6249,Positive
Lakshmi Prakash Shirur,Fabulous,2024-05-16T11:52:44.000Z,3.0,17,Lakshmi Prakash Shirur - Fabulous,ARCHANAS-FOOD,Fabulous,0.5267,Positive
Foodie Dutta,great,2024-07-18T20:03:30.000Z,1.0,13,Foodie Dutta - great,ARCHANAS-FOOD,great,0.6249,Positive
Thiagarajan Chander,I tasted this dish in vadodara Archana,2024-05-07T08:12:46.000Z,2.0,13,Thiagarajan Chander - I tasted this dish i,ARCHANAS-FOOD,I tasted this dish in vadodara Archana,0.0,Neutral
Lakshmi Prakash Shirur,Superrr,2024-05-16T11:52:59.000Z,2.0,13,Lakshmi Prakash Shirur - Superrr,ARCHANAS-FOOD,Superrr,0.0,Neutral
Lakshmi Prakash Shirur,YummyÃ°ÂŸ,2024-07-24T10:55:52.000Z,2.0,27,Lakshmi Prakash Shirur - YummyÃ°ÂŸ,ARCHANAS-FOOD,Yummy,0.5267,Positive
chamar3940,Hi love you,2024-07-25T18:33:18.000Z,2.0,31,chamar3940 - Hi love you,ARCHANAS-FOOD,Hi love you,0.6369,Positive
BakingReview,nice,2024-05-10T14:02:18.000Z,61.0,212,BakingReview - nice,ARCHANAS-FOOD,nice,0.4215,Positive
Rakhi Advani Gautham,Wow congratulations Archana! Ã°ÂŸ,2024-05-09T07:26:52.000Z,61.0,212,Rakhi Advani Gautham - Wow congratulations ,ARCHANAS-FOOD,Wow congratulations Archana! ,0.8398,Positive
Jayesh Doshi,Congratulations !,2024-05-13T10:11:06.000Z,61.0,212,Jayesh Doshi - Congratulations !,ARCHANAS-FOOD,Congratulations !,0.636,Positive
Neha Gopa Sheth,"Congratulations Archana Ã°ÂŸÂ‘Â
You are a Rock star ",2024-05-13T07:40:58.000Z,61.0,212,Neha Gopa Sheth - Congratulations Arch,ARCHANAS-FOOD,"Congratulations Archana ğŸ‘
You are a Rock star ",0.5994,Positive
Mohandoss,Archana the recipe queen... congrats..Ã°ÂŸ,2024-05-10T15:42:47.000Z,61.0,212,Mohandoss - Archana the recipe q,ARCHANAS-FOOD,Archana the recipe queen... congrats..,0.0,Neutral
Jeeva Anna George,"Congratulations,  Archana Ã°ÂŸ",2024-05-10T10:43:10.000Z,61.0,212,"Jeeva Anna George - Congratulations,  Ar",ARCHANAS-FOOD,"Congratulations,  Archana ",0.5994,Positive
Premila Ramesh Manyam,Congratulations Madam,2024-05-10T07:11:57.000Z,61.0,212,Premila Ramesh Manyam - Congratulations Mada,ARCHANAS-FOOD,Congratulations Madam,0.5994,Positive
Dhruv Desai,"Congratulations Archana,",2024-05-09T13:06:50.000Z,61.0,212,Dhruv Desai - Congratulations Arch,ARCHANAS-FOOD,"Congratulations Archana,",0.5994,Positive
Vasantha Erraguntla,Congratulations Archana!,2024-05-09T12:31:31.000Z,61.0,212,Vasantha Erraguntla - Congratulations Arch,ARCHANAS-FOOD,Congratulations Archana!,0.636,Positive
Thiagarajan Chander,So delicious archana,2024-07-23T15:39:01.000Z,3.0,27,Thiagarajan Chander - So delicious archana,ARCHANAS-FOOD,So delicious archana,0.6115,Positive
Pramod Kumar Sharma,delicious,2024-07-17T07:12:15.000Z,3.0,27,Pramod Kumar Sharma - delicious,ARCHANAS-FOOD,delicious,0.5719,Positive
Leena Subramanian,Yummy,2024-07-23T11:05:10.000Z,3.0,27,Leena Subramanian - Yummy,ARCHANAS-FOOD,Yummy,0.5267,Positive
Elizabeth Blunt,"Archana, you often suggest Indian traditional food at lunchtime and western dishes in the evening. Is this how many people in India eat these days?",2024-06-14T12:59:13.000Z,2.0,25,"Elizabeth Blunt - Archana, you often s",ARCHANAS-FOOD,"Archana, you often suggest Indian traditional food at lunchtime and western dishes in the evening. Is this how many people in India eat these days?",0.0,Neutral
Geeta Iyer,Excellent,2024-06-13T11:32:52.000Z,2.0,25,Geeta Iyer - Excellent,ARCHANAS-FOOD,Excellent,0.5719,Positive
Pramod Kumar Sharma,love this recipe.,2024-06-22T08:27:58.000Z,1.0,26,Pramod Kumar Sharma - love this recipe.,ARCHANAS-FOOD,love this recipe.,0.6369,Positive
Foodie Dutta,Wow,2024-07-18T20:02:08.000Z,3.0,11,Foodie Dutta - Wow,ARCHANAS-FOOD,Wow,0.5859,Positive
Jyoti Gulati,Sure,2024-09-05T16:27:36.000Z,82.0,312,Jyoti Gulati - Sure,ARCHANAS-FOOD,Sure,0.3182,Positive
Yamini Kohli,BakingÃ¢,2024-09-04T17:34:39.000Z,82.0,312,Yamini Kohli - BakingÃ¢,ARCHANAS-FOOD,Baking,0.0,Neutral
Parul Shah,"Missed you 
Enjoy with your son good luck 
Waiting for new recipes",2024-09-09T17:42:34.000Z,82.0,312,"Parul Shah - Missed you 
Enjoy wi",ARCHANAS-FOOD,"Missed you 
Enjoy with your son good luck 
Waiting for new recipes",0.7845,Positive
Usha Rajagopal,Looking fabulous! Love the hairÃ°ÂŸ,2024-09-08T17:52:29.000Z,82.0,312,Usha Rajagopal - Looking fabulous! Lo,ARCHANAS-FOOD,Looking fabulous! Love the hair,0.8356,Positive
Pradeep Raajkumar,Lovely Dear,2024-09-07T03:26:52.000Z,82.0,312,Pradeep Raajkumar - Lovely Dear,ARCHANAS-FOOD,Lovely Dear,0.7506,Positive
Hema Parikh,Yes baking & maxican,2024-09-06T17:55:56.000Z,82.0,312,Hema Parikh - Yes baking & maxican,ARCHANAS-FOOD,Yes baking & maxican,0.4019,Positive
Nivedita Rajgarhia,Healthy food for youngsters,2024-09-06T02:14:18.000Z,82.0,312,Nivedita Rajgarhia - Healthy food for you,ARCHANAS-FOOD,Healthy food for youngsters,0.4019,Positive
Rosy Kuldip,Chinese recipes,2024-09-05T21:08:49.000Z,82.0,312,Rosy Kuldip - Chinese recipes,ARCHANAS-FOOD,Chinese recipes,0.0,Neutral
Bharti Gupta,This hairstyle rocks Archana,2024-09-05T12:29:18.000Z,82.0,312,Bharti Gupta - This hairstyle rocks,ARCHANAS-FOOD,This hairstyle rocks Archana,0.0,Neutral
Neha Jain,Yes,2024-09-05T08:58:32.000Z,82.0,312,Neha Jain - Yes,ARCHANAS-FOOD,Yes,0.4019,Positive
Rajalakshmi Shankarakumar,"Happy Vinayagar Chathurthi Ã°ÂŸÂ™Â 
All are favourit",2024-09-07T08:18:10.000Z,3.0,19,Rajalakshmi Shankarakumar - Happy Vinayagar Chat,ARCHANAS-FOOD,"Happy Vinayagar Chathurthi ğŸ™ 
All are favourit",0.5719,Positive
Tanu Bandyopadhyay,"Subho   Ganesh   Chaturthi
Everything  looks  sodelicious",2024-09-07T11:49:31.000Z,3.0,19,Tanu Bandyopadhyay - Subho   Ganesh   Cha,ARCHANAS-FOOD,"Subho   Ganesh   Chaturthi
Everything  looks  sodelicious",0.0,Neutral
Manjunath Manju,Happy ganesh chaturthi,2024-09-07T06:12:06.000Z,3.0,19,Manjunath Manju - Happy ganesh chaturt,ARCHANAS-FOOD,Happy ganesh chaturthi,0.5719,Positive
Thiagarajan Chander,You looking so good archana,2024-05-04T14:01:40.000Z,1.0,12,Thiagarajan Chander - You looking so good ,ARCHANAS-FOOD,You looking so good archana,0.5777,Positive
Lakshmi Prakash Shirur,Lovely,2024-07-24T10:56:32.000Z,1.0,17,Lakshmi Prakash Shirur - Lovely,ARCHANAS-FOOD,Lovely,0.5859,Positive
Pramod Kumar Sharma,Highly nutritious dishes,2024-06-14T16:09:02.000Z,1.0,18,Pramod Kumar Sharma - Highly nutritious di,ARCHANAS-FOOD,Highly nutritious dishes,0.0,Neutral
BakingReview,Looks delicious!   Never tried Akki Roti - what's your favorite chutney to pair it with?,2024-05-04T15:18:54.000Z,6.0,85,BakingReview - Looks delicious!   N,ARCHANAS-FOOD,Looks delicious!   Never tried Akki Roti - what's your favorite chutney to pair it with?,0.7901,Positive
Shobhana Manjunath,Sumptuous one.. swiggy pls..,2024-05-04T03:35:45.000Z,6.0,85,Shobhana Manjunath - Sumptuous one.. swig,ARCHANAS-FOOD,Sumptuous one.. swiggy pls..,0.0,Neutral
Manjunath Manju,Very nice,2024-05-03T06:14:39.000Z,6.0,85,Manjunath Manju - Very nice,ARCHANAS-FOOD,Very nice,0.4754,Positive
Thiagarajan Chander,Archana super,2024-05-07T08:55:15.000Z,6.0,85,Thiagarajan Chander - Archana super,ARCHANAS-FOOD,Archana super,0.5994,Positive
Pramod Kumar Sharma,delicious recipe.,2024-06-22T10:54:00.000Z,3.0,30,Pramod Kumar Sharma - delicious recipe.,ARCHANAS-FOOD,delicious recipe.,0.5719,Positive
Jette Ackermann,>p,2024-09-04T16:14:12.000Z,3.0,30,Jette Ackermann - Ã°ÂŸ,ARCHANAS-FOOD,>p,0.0,Neutral
Thiagarajan Chander,So color ful archana,2024-07-16T13:34:22.000Z,1.0,17,Thiagarajan Chander - So color ful archana,ARCHANAS-FOOD,So color ful archana,0.0,Neutral
Tanu Bandyopadhyay,Menu   Is  so   Tempting.,2024-06-22T15:16:39.000Z,8.0,62,Tanu Bandyopadhyay - Menu   Is  so   Temp,ARCHANAS-FOOD,Menu   Is  so   Tempting.,0.0,Neutral
Prabal Ranjan Paul,"Do you have any recipe with dry fish,please share",2024-06-22T11:48:34.000Z,8.0,62,Prabal Ranjan Paul - Do you have any reci,ARCHANAS-FOOD,"Do you have any recipe with dry fish,please share",0.296,Positive
Shelly Johnson,They are amazing,2024-06-22T08:10:59.000Z,8.0,62,Shelly Johnson - They are amazing,ARCHANAS-FOOD,They are amazing,0.5859,Positive
Anuradha Ramesh,Good afternoon Ma'am. Your recipes are totally amazing and awesome. I truly love them. You are an inspiration to me. Thanks a lot.,2024-06-22T07:37:35.000Z,8.0,62,Anuradha Ramesh - Good afternoon Ma'am,ARCHANAS-FOOD,Good afternoon Ma'am. Your recipes are totally amazing and awesome. I truly love them. You are an inspiration to me. Thanks a lot.,0.977,Positive
The Tasty Room ,ddd,2024-06-23T06:16:26.000Z,8.0,62,The Tasty Room  - Ã¢ÂÂ¤Ã¯Â¸Â,ARCHANAS-FOOD,ddd,0.0,Neutral
Lakshmi Prakash Shirur,Superb dishes,2024-05-07T15:47:11.000Z,2.0,18,Lakshmi Prakash Shirur - Superb dishes,ARCHANAS-FOOD,Superb dishes,0.6249,Positive
Sameer Mohammad,Aliya Shaik,2024-04-30T10:45:52.000Z,2.0,18,Sameer Mohammad - Aliya Shaik,ARCHANAS-FOOD,Aliya Shaik,0.0,Neutral
Kavita Kripalani Bina Daswani,Love it,2024-06-14T11:33:21.000Z,1.0,26,Kavita Kripalani Bina Daswani - Love it,ARCHANAS-FOOD,Love it,0.6369,Positive
Tanu Bandyopadhyay,Too   Good  .,2024-06-21T09:41:16.000Z,4.0,72,Tanu Bandyopadhyay - Too   Good  .,ARCHANAS-FOOD,Too   Good  .,0.4404,Positive
ghar ka TripatiTali,Wow yummy recipe,2024-04-30T04:37:34.000Z,3.0,21,ghar ka TripatiTali - Wow yummy recipe,ARCHANAS-FOOD,Wow yummy recipe,0.802,Positive
Vandana Vp,Recipe?,2024-04-30T18:46:26.000Z,3.0,21,Vandana Vp - Recipe?,ARCHANAS-FOOD,Recipe?,0.0,Neutral
Thiagarajan Chander,Archana you rocking,2024-04-30T09:43:03.000Z,3.0,21,Thiagarajan Chander - Archana you rocking,ARCHANAS-FOOD,Archana you rocking,0.0,Neutral
Pramod Kumar Sharma,delicious recipe thank you Ã°ÂŸ,2024-06-25T06:48:17.000Z,2.0,23,Pramod Kumar Sharma - delicious recipe tha,ARCHANAS-FOOD,delicious recipe thank you ,0.7351,Positive
Thiagarajan Chander,"Well done archana, keep rocking",2024-07-02T11:00:10.000Z,2.0,23,"Thiagarajan Chander - Well done archana, k",ARCHANAS-FOOD,"Well done archana, keep rocking",0.2732,Positive
Rajalakshmi Shankarakumar,Yummy and easy to make,2024-04-16T13:13:57.000Z,3.0,85,Rajalakshmi Shankarakumar - Yummy and easy to ma,ARCHANAS-FOOD,Yummy and easy to make,0.743,Positive
Ragini Singh,Written recipe please,2024-04-16T19:52:31.000Z,3.0,85,Ragini Singh - Written recipe pleas,ARCHANAS-FOOD,Written recipe please,0.3182,Positive
Ruki Char Parekh,We make it with channa atta/ besan!,2024-04-23T09:25:23.000Z,3.0,58,Ruki Char Parekh - We make it with chan,ARCHANAS-FOOD,We make it with channa atta/ besan!,0.0,Neutral
Kamaraju Naidu,Very nice and quickly  showing keep it up,2024-04-23T07:11:24.000Z,3.0,58,Kamaraju Naidu - Very nice and quickl,ARCHANAS-FOOD,Very nice and quickly  showing keep it up,0.4754,Positive
Parisudham,=M=M=M,2024-04-10T15:41:06.000Z,1.0,62,Parisudham - Ã°ÂŸÂ‘ÂÃ°ÂŸ,ARCHANAS-FOOD,=M=M=M,0.0,Neutral
Shyamali Choudhury,I love south Indian receipe,2024-06-13T06:38:56.000Z,3.0,30,Shyamali Choudhury - I love south Indian ,ARCHANAS-FOOD,I love south Indian receipe,0.6369,Positive
Jayant Joshi,"MÃ¢Â€Â™am, I shall try Spinach Mashroom scrambled eggs first Ã°ÂŸÂ˜Âƒfollowed by millet paniyaram n then raw mango coconut chutney ",2024-06-13T03:07:49.000Z,3.0,30,"Jayant Joshi - MÃ¢Â€Â™am, I shall try ",ARCHANAS-FOOD,"Mâ€™am, I shall try Spinach Mashroom scrambled eggs first ğŸ˜ƒfollowed by millet paniyaram n then raw mango coconut chutney ",0.0,Neutral
Thiagarajan Chander,"Super archana, keep rocking",2024-04-23T08:21:34.000Z,3.0,30,"Thiagarajan Chander - Super archana, keep ",ARCHANAS-FOOD,"Super archana, keep rocking",0.5994,Positive
Aru Arumugam,Very ÃƒÂ±ic,2024-04-17T02:23:06.000Z,3.0,30,Aru Arumugam - Very ÃƒÂ±ic,ARCHANAS-FOOD,Very Ã±ic,0.0,Neutral
Jasbir Singh Waraich,Nice Ã°ÂŸÂ‘ÂŒÃ¢,2024-04-23T00:30:57.000Z,3.0,30,Jasbir Singh Waraich - Nice Ã°ÂŸÂ‘ÂŒÃ¢,ARCHANAS-FOOD,Nice ğŸ‘Œ,0.4215,Positive
DivyasWorld,Yummmy Ã°ÂŸÂ˜Â‹Ã°ÂŸÂ˜Â‹,2024-04-10T14:05:54.000Z,1.0,20,DivyasWorld - Yummmy Ã°ÂŸÂ˜Â‹Ã°ÂŸÂ˜Â‹,ARCHANAS-FOOD,Yummmy ğŸ˜‹ğŸ˜‹,0.0,Neutral
Kitchen Recepies,LovelyÃ¢Â,2024-03-31T17:34:50.000Z,1.0,91,Kitchen Recepies - LovelyÃ¢Â,ARCHANAS-FOOD,Lovely,0.5859,Positive
Lakshmi Prakash Shirur,Wowie,2024-03-27T10:46:09.000Z,1.0,19,Lakshmi Prakash Shirur - Wowie,ARCHANAS-FOOD,Wowie,0.0,Neutral
Thiagarajan Chander,Good archana,2024-04-12T09:55:40.000Z,1.0,59,Thiagarajan Chander - Good archana,ARCHANAS-FOOD,Good archana,0.4404,Positive
Ben Bames,Khal community se judo aur cooking ke tips and tricks seekho!,2024-10-12T08:10:02.000Z,6.0,49,Ben Bames - Khal community se ju,ARCHANAS-FOOD,Khal community se judo aur cooking ke tips and tricks seekho!,-0.2003,Negative
Bella Bobbi,"Your recipes deserve a global audience, Join khal.com and unlock a world of opportunities, rewards, and connection.",2024-04-18T02:47:18.000Z,6.0,49,Bella Bobbi - Your recipes deserve,ARCHANAS-FOOD,"Your recipes deserve a global audience, Join khal.com and unlock a world of opportunities, rewards, and connection.",0.7845,Positive
Thiagarajan Chander,Wonderful archana,2024-03-23T07:55:54.000Z,6.0,49,Thiagarajan Chander - Wonderful archana,ARCHANAS-FOOD,Wonderful archana,0.5719,Positive
Vandana Bhatia,Looking delicious,2024-03-28T03:23:49.000Z,2.0,31,Vandana Bhatia - Looking delicious,ARCHANAS-FOOD,Looking delicious,0.5719,Positive
Lakshmi Prakash Shirur,Splendid,2024-03-27T10:45:38.000Z,2.0,31,Lakshmi Prakash Shirur - Splendid,ARCHANAS-FOOD,Splendid,0.5859,Positive
Kumkum Doshi,Perfect,2024-04-03T10:33:28.000Z,2.0,18,Kumkum Doshi - Perfect,ARCHANAS-FOOD,Perfect,0.5719,Positive
